text,category
"Each of a member's websites must include a readily apparent reference and hyperlink to BrokerCheck on:
(i) the initial webpage that the member intends to be viewed by retail investors; and
(ii) any other webpage that includes a professional profile of one or more registered persons who conduct business with retail investors.",Marketing
"When sponsoring or participating in a seminar, forum, radio or television interview, or when otherwise engaged in public appearances or speaking activities that are unscripted and do not constitute retail communications, institutional communications or correspondence (“public appearance”), persons associated with members must follow the standards of paragraph (d)(1).",Marketing
" If an associated person recommends a security in a public appearance, the associated person must have a reasonable basis for the recommendation. The associated person also must disclose, as applicable:",Marketing
"(A) that the associated person has a financial interest in any of the securities of the issuer whose securities are recommended, and the nature of the financial interest (including, without limitation, whether it consists of any option, right, warrant, future, long or short position), unless the extent of the financial interest is nominal; and
(B) any other actual, material conflict of interest of the associated person or member of which the associated person knows or has reason to know at the time of the public appearance.",Marketing
"(3) Each member shall establish written procedures that are appropriate to its business, size, structure, and customers to supervise its associated persons' public appearances. Such procedures must provide for the education and training of associated persons who make public appearances as to the firm's procedures, documentation of such education and training, and surveillance and follow-up to ensure that such procedures are implemented and adhered to. Evidence that these supervisory procedures have been implemented and carried out must be maintained and made available to FINRA upon request.",Marketing
"(4) Any scripts, slides, handouts or other written (including electronic) materials used in connection with public appearances are considered communications for purposes of this Rule, and members must comply with all applicable provisions of this Rule based on those communications' audience, content and use.",Marketing
"5) Paragraph (f)(2) does not apply to any public appearance by a research analyst for purposes of Rule 2241 or by a debt research analyst for purposes of Rule 2242 that includes all of the disclosures required by Rule 2241 or 2242, as applicable. Paragraph (f)(2) also does not apply to a recommendation of investment company securities or variable insurance products; provided, however, that the associated person must have a reasonable basis for the recommendation.",Marketing
"For the purposes only of section 5 of the Act, a notice, circular, advertisement, letter, sign, or other communication, published or transmitted to any person which does not specifically refer by name to the securities of a particular investment company, to the investment company itself, or to any other securities not exempt under section 3(a) of the Act, will not be deemed to offer any security for sale, provided:",Marketing
"Such communication is limited to any one or more of the following:

(i) Explanatory information relating to securities of investment companies generally or to the nature of investment companies, or to services offered in connection with the ownership of such securities,",Marketing
"The mention or explanation of investment companies of different generic types or having various investment objectives, such as balanced funds, growth funds, income funds, leveraged funds, specialty funds, variable annuities, bond funds, and no-load funds,",Marketing
"Offers, descriptions, and explanation of various products and services not constituting a security subject to registration under the Act: Provided, That such offers, descriptions, and explanations do not relate directly to the desirability of owning or purchasing a security issued by a registered investment company,",Marketing
"Invitation to inquire for further information, and

(2) Such communication contains the name and address of a registered broker or dealer or other person sponsoring the communication.",Marketing
"If such communication contains a solicitation of inquiries and prospectuses for investment company securities are to be sent or delivered in response to such inquiries, the number of such investment companies and, if applicable, the fact that the sponsor of the communication is the principal underwriter or investment adviser in respect to such investment companies shall be stated.",Marketing
"With respect to any communication describing any type of security, service, or product, the broker, dealer, or other person sponsoring such communication must offer for sale a security, service, or product of the type described in such communication.",Marketing
"Scope of rule. This section applies to an advertisement or other sales material (advertisement) with respect to securities of an investment company registered under the Investment Company Act of 1940 (15 U.S.C. 80a-1 et seq.) (1940 Act), or a business development company, that is selling or proposing to sell its securities pursuant to a registration statement that has been filed under the Act. This section does not apply to an advertisement that is excepted from the definition of prospectus by section 2(a)(10) of the Act (15 U.S.C. 77b(a)(10)) or §230.498(d) or to a summary prospectus under §230.498. An advertisement that complies with this section, which may include information the substance of which is not included in the prospectus specified in section 10(a) of the Act (15 U.S.C 77j(a)), will be deemed to be a prospectus under section 10(b) of the Act (15 U.S.C. 77j(b)) for the purposes of section 5(b)(1) of the Act (15 U.S.C. 77e(b)(1)).",Marketing
